语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：愁
2023/1/20 16:06:28

序号	语句	书名	朝代
65	莽知民 [愁] ，乃但行小钱直一，与大钱五十，二品并行，龟、贝、布属且寝。		《汉书》__汉
66	又一切调上公以下诸有奴婢者，率一口出钱三千六百，天下愈 [愁] ，盗贼起。		《汉书》__汉
67	问其故，皆曰 [愁] 法禁烦苛，不得举手。		《汉书》__汉
68	闭门自守，又坐邻伍铸钱挟铜，奸吏因以 [愁] 民。		《汉书》__汉
69	是时，诸将在边，须大众集，吏士放纵，而内郡 [愁] 于征发，民弃城郭流亡为盗贼，并州、平州尤甚。		《汉书》__汉
70	矩素直亮，众谈同 [愁] 。		《风俗通义》__汉
71	谷常贵，边兵二十余万人仰衣食，县官 [愁] 若。		《汉书》__汉
72	而奸邪并生，赭衣塞路，囹圄成市，天下 [愁] 怨，溃而叛之。		《汉书》__汉
73	三边蛮夷 [愁] 扰尽反，复杀益州大尹程隆。		《汉书》__汉
74	死者恨于下，生者 [愁] 于上，怨气感动阴阳，因之以饥馑，物故流离以十万数，臣甚C370焉。		《汉书》__汉
75	皇谓河公兮何不仁，泛滥不止兮 [愁] 吾人！		《汉书》__汉
76	去怜之，为作歌曰：“ [愁] 莫 [愁] ，居无卿。		《汉书》__汉
77	乃作书，往往摭《离骚》文而反之，自岷山投诸江流以吊屈原，名曰《反离骚》；又旁《离骚》作重一篇，名曰《广骚》；又旁《惜诵》以下至《怀沙》一卷，名曰《畔牢 [愁] 》。		《汉书》__汉
78	《畔牢 [愁] 》、《广骚》文多，不载，独载《反离骚》，其辞曰：		《汉书》__汉
79	谷永以京房《易占》对曰：“今年二月日食，赋敛不得度，民 [愁] 怨之所致也。		《汉书》__汉
80	为 [愁] 悴怨怼，而不失其所以自乐也。		《淮南子》__汉
81	若夫俗世之学也则不然，内 [愁] 五藏，外劳耳目，		《淮南子》__汉
82	彗星出，蝗蟲数起，此万世一时，而 [愁] 劳圣人之所以起也。		《史记》__汉
83	误设计数，烦扰农商，损下益上， [愁] 民说主。		《论衡》__汉
84	委任有司，然则官旷民 [愁] ，盗贼公行。		《汉书》__汉
85	又广盱营表，发人冢墓，断截骸骨，暴扬尸柩，百姓财竭力尽， [愁] 恨感天，灾异屡降，饥馑仍臻。		《汉书》__汉
