语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：泪
2022/5/26 20:09:03

序号	语句	书名	朝代
59	裁书代面，笔 [泪] 俱下。		《梁书》__魏晋六朝
60	永感四山，零 [泪] 双渠。		《宋书》__魏晋六朝
61	晔收 [泪] 而止。		《宋书》__魏晋六朝
62	至於楚臣去境，汉妾辞宫；或骨横朔野，或魂逐飞蓬；或负戈外戍，杀气雄边；塞客衣单，孀闺 [泪] 尽；或士有解佩出朝，一去忘返；女有扬蛾入宠，再盼倾国。		《诗品》__魏晋六朝
63	祖道魏东门， [泪] 下沾冠缨。		《宋书》__魏晋六朝
64	盘桓北阙下，泣 [泪] 何涟如。		《宋书》__魏晋六朝
65	公少即长人，情无哀戚，侍拜长宁，从祀宗庙，颜无戚状， [泪] 不垂脸，兄弟长幼，靡有爱心。		《宋书》__魏晋六朝
66	桓以手巾掩 [泪] ，因谓王曰：“犯我家讳，何预卿事！”		《世说新语》__魏晋六朝
67	广收 [泪] 答曰：“身与君不同。		《宋书》__魏晋六朝
68	或曰：“声如震雷破山， [泪] 如倾河注海。”		《世说新语》__魏晋六朝
69	四解不觉 [泪] 下沾衣裳，援瑟鸣弦发清商。		《宋书》__魏晋六朝
70	赋诗以写怀，伏轼 [泪] 沾缨。		《宋书》__魏晋六朝
71	二解守穷者贫贱，惋叹 [泪] 如雨。		《宋书》__魏晋六朝
72	躇踌顾群侣， [泪] 下不自知。		《宋书》__魏晋六朝
73	他日有问志：“卿那得此副急 [泪] ？”		《宋书》__魏晋六朝
74	数行 [泪] 下。		《颜氏家训》__魏晋六朝
75	引领还入房， [泪] 下沾裳衣。		《昭明文选》__魏晋六朝
76	俯仰内伤心， [泪] 下不可挥。		《昭明文选》__魏晋六朝
77	握手一长叹， [泪] 为生别滋。		《昭明文选》__魏晋六朝
78	又《道经》云：“合口诵经声璅々，眼中 [泪] 出珠子果。”		《颜氏家训》__魏晋六朝
79	拊膺携客泣，掩 [泪] 叙温凉。		《昭明文选》__魏晋六朝
80	衔哀过旧宅，悲 [泪] 应心零；借问为谁悲？		《陶渊明集》__魏晋六朝
81	感哲人之无偶， [泪] 淋浪以洒袂。		《陶渊明集》__魏晋六朝
82	古诗曰： [泪] 下霑衣裳。		《昭明文选》__魏晋六朝
83	据鞍长叹息， [泪] 下如流泉。		《昭明文选》__魏晋六朝
84	感平生之游处，悲一往之不返，情恻恻以摧心， [泪] 愍愍而盈眼。		《陶渊明集》__魏晋六朝
85	怀情徒草草， [泪] 下空霏霏。		《昭明文选》__魏晋六朝
86	晨坐听之，不觉 [泪] 下。		《昭明文选》__魏晋六朝
87	血即 [泪] 也。		《昭明文选》__魏晋六朝
88	燕丹子曰：太子唏嘘饮 [泪] 。		《昭明文选》__魏晋六朝
89	王肃曰：挥涕者， [泪] 以手挥之。		《昭明文选》__魏晋六朝
90	试与征徒望，乡 [泪] 尽沾衣。		《昭明文选》__魏晋六朝
91	古诗曰： [泪] 下沾衣裳。		《昭明文选》__魏晋六朝
92	佳期怅何许， [泪] 下如流霰。		《昭明文选》__魏晋六朝
93	零 [泪] 沾衣裳。		《昭明文选》__魏晋六朝
94	古诗曰： [泪] 下沾衣裳。		《昭明文选》__魏晋六朝
95	悲来恻丹心，零 [泪] 缘缨流。		《昭明文选》__魏晋六朝
96	客子多悲伤， [泪] 下不可收。		《昭明文选》__魏晋六朝
97	忧来思君不敢忘，不觉 [泪] 下霑衣裳。		《昭明文选》__魏晋六朝
98	古诗曰： [泪] 下霑衣裳。		《昭明文选》__魏晋六朝
99	孟尝君喟然叹息， [泪] 下承睫。		《昭明文选》__魏晋六朝
100	徘徊向长风， [泪] 下霑衣衿。		《昭明文选》__魏晋六朝
101	魏文帝歌行曰：不觉 [泪] 下霑衣裳。		《昭明文选》__魏晋六朝
102	芳襟染 [泪] 迹，婵媛空复情。		《昭明文选》__魏晋六朝
103	桓子新论曰：雍门周以琴见孟尝君，孟尝君 [泪] 承睫，涕出。		《昭明文选》__魏晋六朝
104	矫慼容以赴节，掩零 [泪] 而荐觞。		《昭明文选》__魏晋六朝
105	古来共尽，牛山有 [泪] 。		《昭明文选》__魏晋六朝
106	公收 [泪] 而问之，晏子曰：使贤者常守，则太公、桓公有之；使勇者常守，则庄公有之。		《昭明文选》__魏晋六朝
107	潘岳祭庾新妇文曰：伏膺饮 [泪] ，感今惟昔。		《昭明文选》__魏晋六朝
108	 [泪] 容不可饰，幽镜难复治。		《昭明文选》__魏晋六朝
109	蚁壤漏山河，丝 [泪] 毁金骨。		《昭明文选》__魏晋六朝
110	丝 [泪] ， [泪] 之微者。		《昭明文选》__魏晋六朝
111	言谗邪之人，但下如丝之 [泪] ，而金骨为之伤毁也。		《昭明文选》__魏晋六朝
112	张叔及论曰：烦冤俯仰， [泪] 如丝兮。		《昭明文选》__魏晋六朝
113	日暮浮云滋，渥手 [泪] 如霰。		《昭明文选》__魏晋六朝
114	收 [泪] 即长路，援笔从此辞。		《昭明文选》__魏晋六朝
115	鹳鹢在幽草，客子 [泪] 已零。		《昭明文选》__魏晋六朝
116	芳尘未歇席，涔 [泪] 犹在袂。		《昭明文选》__魏晋六朝
117	酸鼻，鼻辛酸 [泪] 欲出也。		《昭明文选》__魏晋六朝
118	故知音者乐而悲之，不知音者怪而伟之，故闻其悲声，则莫不怆然累欷，撇涕抆 [泪] 。		《昭明文选》__魏晋六朝
119	耸颜诮项，掩 [泪] 悟主。		《昭明文选》__魏晋六朝
120	齐王宪问孝珩齐亡所由，孝珩自陈国难，辞 [泪] 俱下，俯仰有节。		《北齐书》__隋唐五代
121	固命之，举笛裁至口， [泪] 下呜咽，武帝乃止。		《北齐书》__隋唐五代
122	抗罗袂以掩涕兮， [泪] 流襟之浪浪。		《昭明文选》__魏晋六朝
123	延宗手书以谏，而 [泪] 满纸。		《北齐书》__隋唐五代
124	河间死，延宗哭之 [泪] 亦甚。		《北齐书》__隋唐五代
125	 [泪] 下貌。		《昭明文选》__魏晋六朝
126	淮南子曰：水 [泪] 破舟。		《昭明文选》__魏晋六朝
127	众满堂而饮酒，独向隅以掩 [泪] 。		《昭明文选》__魏晋六朝
128	口呜咽以失声兮， [泪] 横迸而霑衣。		《昭明文选》__魏晋六朝
129	哀郁结兮交集， [泪] 横流兮滂；楚辞曰：郁结纡轸兮。		《昭明文选》__魏晋六朝
130	班婕妤自伤赋曰：双 [泪] 下兮横流。		《昭明文选》__魏晋六朝
131	秋官侍郎刘如璇不觉言唧唧而 [泪] 下。		《大唐新语》__隋唐五代
132	下狱，如璇对曰：“年老，目遇风而 [泪] 下。”		《大唐新语》__隋唐五代
133	俊臣批之曰：“目下涓涓之 [泪] ，即是因风；口中唧唧之声，如何分雪？”		《大唐新语》__隋唐五代
134	左右兮魂动，亲宾兮 [泪] 滋。		《昭明文选》__魏晋六朝
135	苏武诗曰： [泪] 为生别滋。		《昭明文选》__魏晋六朝
136	盛弘之荆州记，古歌曰：巴东三峡巫峡长，猿鸣三声 [泪] 沾裳。		《昭明文选》__魏晋六朝
137	因 [泪] 下呜咽，仍取《孝经》与之，令其习读。		《大唐新语》__隋唐五代
138	言及西军，潺湲掩 [泪] ，恒思吾至，如望岁焉，松柏后凋，一人而已。”		《陈书》__隋唐五代
139	木人犹堪 [泪] 下，铁马亦可蹄穿。”		《大唐新语》__隋唐五代
140	召见，两 [泪] 交下。		《大唐新语》__隋唐五代
